the_geom,Length,SegmentID,Width,Rating_B,RatingWord,Shape_len,Merged3.FID,Merged3.Street,Theft_rate,Subway,Rest,Graf,Theft_predicted
"LINESTRING (-74.25393145629884 40.50232064751993, -74.25425434546075 40.50212779438168)",114,9,30,0,NR,114.0175425,0,BATTERY PARK CITY GREENWAY,0,0,0,0,0.05
"LINESTRING (-74.25348929042963 40.50235181824591, -74.25393145629884 40.50232064751993)",123,10,30,0,NR,123.4908904,1,BATTERY PLACE,0,0,0,0,0.05
"LINESTRING (-74.25348929042963 40.50235181824591, -74.251521301242 40.5001520491618)",999,11,30,0,NR,970.4813239,2,BATTERY PLACE,0,0,0,0,0.05
"LINESTRING (-74.25272401241558 40.50251819603399, -74.25348929042963 40.50235181824591)",221,12,30,0,NR,221.2894033,3,WEST THAMES STREET,0,0,0,0,0.05
"LINESTRING (-74.25272401241558 40.50251819603399, -74.25070987612833 40.50047222527812)",933,13,30,0,NR,932.4017375,4,1 PLACE,0,0,0,0,0.05
"LINESTRING (-74.25505718173595 40.505211202870065, -74.25317764292664 40.50551455135355)",465,15,30,8,GOOD,534.2377748,5,BROAD STREET,0,0,0,0,0.05
"LINESTRING (-74.25422295126856 40.50616551015999, -74.25409933184112 40.50580895597205)",151,16,30,8,GOOD,134.3726163,6,STATE STREET,0,0,0,0,0.05
"LINESTRING (-74.25317481600673 40.504767963667796, -74.25388284483594 40.50467033039051)",211,17,30,8,GOOD,200.0849819,7,STATE STREET,0,0,0,0,0.05
"LINESTRING (-74.2530943012904 40.50629701186389, -74.25422295126856 40.50616551015999)",331,20,18.58,7,GOOD,317.4980315,8,GREENWICH STREET,0,0,2,0,0.16
"LINESTRING (-74.25493722035228 40.50770103069517, -74.25478088667 40.50819819213698)",213,25,30,6,FAIR,186.2713075,9,PEARL STREET,0,0,0,0,0.05
"LINESTRING (-74.25453161899141 40.506955337142536, -74.25422295126856 40.50616551015999)",301,26,30,7,FAIR,300.2815346,10,WHITEHALL STREET,0,0,0,0,0.05
"LINESTRING (-74.25493722035228 40.50770103069517, -74.25525021415838 40.507736017774995)",139,27,30,6,FAIR,87.96590249,11,RECTOR STREET,0,0,2,0,0.16
"LINESTRING (-74.25493722035228 40.50770103069517, -74.25453161899141 40.506955337142536)",542,28,45.58,6,FAIR,294.156421,12,WATER STREET,0,0,2,0,0.16
"LINESTRING (-74.25392304681473 40.507681320466496, -74.25493722035228 40.50770103069517)",216,29,29.75,6,FAIR,282.1134524,13,BEAVER STREET,0,0,5,0,0.325
"LINESTRING (-74.25299942180904 40.50688186992653, -74.2530943012904 40.50629701186389)",235,30,33.58,3,POOR,214.704448,14,CHURCH STREET,0,0,1,0,0.105
"LINESTRING (-74.25299942180904 40.50688186992653, -74.25453161899141 40.506955337142536)",205,31,35.67,8,GOOD,426.9191961,15,CHURCH STREET,0,0,1,0,0.105
"LINESTRING (-74.25287637435896 40.50762599010005, -74.25392304681473 40.507681320466496)",295,32,30.92,6,FAIR,291.756748,16,CHURCH STREET,0,0,1,0,0.105
"LINESTRING (-74.25287637435896 40.50762599010005, -74.25299942180904 40.50688186992653)",229,33,33.58,6,FAIR,273.2508005,17,WALL STREET,1,0,2,0,0.16
"LINESTRING (-74.25308030444408 40.51209961294924, -74.25299384780556 40.51206137595131)",66,35,30,0,NR,27.78488798,18,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.25299384780556 40.51206137595131, -74.25206694969117 40.51136073911516)",548,36,27.33,6,FAIR,362.7464679,19,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.25340122831177 40.51232398083574, -74.25308030444408 40.51209961294924)",82,37,30,0,NR,121.0165278,20,WASHINGTON STREET,0,0,0,0,0.05
"LINESTRING (-74.2500339473352 40.49856604226262, -74.24984080789105 40.497877510218174)",208,44,30,0,NR,256.5345981,21,GREENWICH STREET,0,0,4,0,0.27
"LINESTRING (-74.25026681710948 40.4993011494486, -74.2500339473352 40.49856604226262)",327,47,30,0,NR,275.5358416,22,GREENWICH STREET,0,0,4,0,0.27
"LINESTRING (-74.251380926093 40.5001139291239, -74.25026681710948 40.4993011494486)",221,48,30,0,NR,428.5907139,23,STONE STREET,0,0,2,0,0.16
"LINESTRING (-74.25070987612833 40.50047222527812, -74.251521301242 40.5001520491618)",252,49,30,0,NR,254.0314941,24,BROADWAY,0,0,4,0,0.27
"LINESTRING (-74.24977526691939 40.50054562902637, -74.251380926093 40.5001139291239)",451,50,30,0,NR,473.4395421,25,WEST BROADWAY,0,0,0,0,0.05
"LINESTRING (-74.24964592491251 40.50057335879892, -74.24977526691939 40.50054562902637)",81,51,30,8,GOOD,37.36308338,26,CORTLANDT STREET,2,1,1,0,1.264
"LINESTRING (-74.24992752682134 40.500877422074446, -74.25070987612833 40.50047222527812)",206,52,30,0,NR,262.93155,27,BROADWAY,0,0,3,0,0.215
"LINESTRING (-74.24992752682134 40.500877422074446, -74.24972202875875 40.50073239341262)",98,53,30,8,GOOD,77.83315489,28,EXCHANGE PLACE,0,0,2,0,0.16
"LINESTRING (-74.24915717962665 40.498716170272985, -74.2500339473352 40.49856604226262)",414,56,30,0,NR,249.9039816,29,GREENWICH STREET,0,0,2,0,0.16
"LINESTRING (-74.24915717962665 40.498716170272985, -74.24917035475586 40.49878875983994, -74.24918480103563 40.49886120757325, -74.24920051602858 40.49893350158343, -74.24921749729391 40.49900562906611, -74.24923574118887 40.49907757630447, -74.249255244074 40.49914933049662, -74.24927600231325 40.499220879755555, -74.24929801345883 40.499292209446814, -74.24932127267938 40.49936330860088, -74.24934685189044 40.499440393760565)",276,57,30,8,GOOD,269.2576759,30,WATTS STREET,0,0,1,0,0.105
"LINESTRING (-74.24934685189044 40.499440393760565, -74.25026681710948 40.4993011494486)",425,58,30,0,NR,260.8371139,31,COLLISTER STREET,0,0,1,0,0.105
"LINESTRING (-74.24934685189044 40.499440393760565, -74.24964592491251 40.50057335879892)",389,59,30,8,GOOD,421.0617532,32,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.2518296231154 40.502775431535824, -74.25272401241558 40.50251819603399)",253,60,30,8,GOOD,265.8006772,33,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.2518296231154 40.502775431535824, -74.25177387157566 40.50269855495659, -74.25171453627942 40.5026232571694, -74.25165169431314 40.50254963589865, -74.25158542634755 40.50247778611594, -74.25151581903816 40.50240780094961, -74.25144296262465 40.5023397707754, -74.25136694972882 40.50227378230388, -74.25128787896746 40.50220992314747, -74.25120585252431 40.5021482735912, -74.25112226925793 40.50209077390794)",315,61,30,6,FAIR,319.4094855,34,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.25136255092438 40.50287801431404, -74.2518296231154 40.502775431535824)",152,62,61.83,9,GOOD,135.1628647,35,HUDSON STREET,0,0,0,0,0.05
"LINESTRING (-74.25136255092438 40.50287801431404, -74.25112226925793 40.50209077390794)",295,63,30,0,NR,294.4910865,36,WEST BROADWAY,0,0,0,1,1.175
"LINESTRING (-74.25112226925793 40.50209077390794, -74.24992752682134 40.500877422074446)",571,64,30,6,FAIR,553.0009042,37,CHARLES STREET,0,0,0,0,0.05
"LINESTRING (-74.25052173921226 40.503041797979236, -74.25136255092438 40.50287801431404)",256,65,61.83,9,GOOD,241.3234344,38,CANAL STREET,0,0,0,0,0.05
"LINESTRING (-74.25052173921226 40.503041797979236, -74.25135770161556 40.50541424842994)",985,66,38.42,8,GOOD,895.0558642,39,12 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.24970251882002 40.5032110181549, -74.25052173921226 40.503041797979236)",247,67,61.83,9,GOOD,236.019067,40,JOE DIMAGGIO HIGHWAY,0,0,0,0,0.05
"LINESTRING (-74.24970251882002 40.5032110181549, -74.24884828626027 40.50073703634991)",921,68,37.58,6,FAIR,932.1099721,41,BARROW STREET,0,0,0,0,0.05
"LINESTRING (-74.25232227366946 40.505639952607375, -74.25317764292664 40.50551455135355)",294,69,30,8,GOOD,242.216845,42,HANOVER STREET,0,0,0,0,0.05
"LINESTRING (-74.25232227366946 40.505639952607375, -74.25136255092438 40.50287801431404)",1026,70,34.92,8,GOOD,1041.030739,43,CHURCH STREET,0,0,1,0,0.105
"LINESTRING (-74.25146328459765 40.50575986574871, -74.25232227366946 40.505639952607375)",300,71,30,7,FAIR,242.8373942,44,GREENWICH STREET,0,0,0,0,0.05
"LINESTRING (-74.250575534997 40.505882580084084, -74.25146328459765 40.50575986574871)",202,73,30,7,FAIR,250.8884214,45,HUDSON STREET,0,0,0,0,0.05
"LINESTRING (-74.25049872399681 40.5055368991611, -74.24970251882002 40.5032110181549)",822,75,30,8,GOOD,875.8224706,46,RENWICK STREET,0,0,0,0,0.05
"LINESTRING (-74.24957502628108 40.50566242905349, -74.24882938743596 40.50338858387235)",831,76,30,8,GOOD,853.9707255,47,CANAL STREET,0,0,0,0,0.05
"LINESTRING (-74.24969496383484 40.50600252709535, -74.250575534997 40.505882580084084)",276,77,30,8,GOOD,248.7448492,48,WEST 10 STREET,0,0,0,0,0.05
"LINESTRING (-74.25217238885658 40.50689741433339, -74.25232227366946 40.505639952607375)",734,79,34.92,7,GOOD,460.0141302,49,BEEKMAN STREET,0,0,0,0,0.05
"LINESTRING (-74.25208147940663 40.50758382158104, -74.25287637435896 40.50762599010005)",252,80,30.92,8,GOOD,221.5784286,50,NORTH MOORE STREET,0,0,1,0,0.105
"LINESTRING (-74.25208147940663 40.50758382158104, -74.25217238885658 40.50689741433339)",252,81,30,7,FAIR,251.3483638,51,VARICK STREET,0,0,0,0,0.05
"LINESTRING (-74.25173362257752 40.506884653464255, -74.25146328459765 40.50575986574871)",456,82,35.83,8,GOOD,416.6245312,52,12 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.25173362257752 40.506884653464255, -74.25217238885658 40.50689741433339)",122,83,30,7,FAIR,122.102416,53,JOE DIMAGGIO HIGHWAY,0,0,0,0,0.05
"LINESTRING (-74.25087865534584 40.507122581050844, -74.250575534997 40.505882580084084)",468,84,26.5,8,GOOD,459.5573958,54,HUDSON STREET,0,0,0,0,0.05
"LINESTRING (-74.25087865534584 40.507122581050844, -74.25173362257752 40.506884653464255)",208,85,15.25,8,GOOD,253.0612574,55,CHURCH STREET,1,0,6,0,0.38
"LINESTRING (-74.25116522690938 40.50778345825336, -74.25087865534584 40.507122581050844)",282,87,26.5,8,GOOD,253.6178227,56,HUDSON STREET,0,0,2,0,0.16
"LINESTRING (-74.25032826767833 40.50803232160184, -74.25116522690938 40.50778345825336)",286,89,30.92,8,GOOD,249.7779013,57,MAIDEN LANE,0,0,3,0,0.215
"LINESTRING (-74.25032826767833 40.50803232160184, -74.25003091517966 40.507371465825216)",254,90,30,8,GOOD,254.568262,58,WEST 17 STREET,0,0,0,0,0.05
